id,created_at,test_id,answer,result,attempts,first_try,mistake_note,session_id
h-03gvfodzic8lh9x1ffee6osjm,2026-09-15T11:14:37Z,t-03gvfodzichsqbzzn8f5g45hf,Strategy,correct,1,TRUE,,s-03gvfodzicht59odaszisixqq
h-03gvfodzicjq167vqt48frr4t,2026-09-15T11:14:37Z,t-03gvfodzicdo16hb5gqlb74st,Adopt strategy,partial_corrected,2,FALSE,Initially supplied only “strategy”; omitted “adopt” for the first blank.,s-03gvfodzicht59odaszisixqq
h-03gvfodzicawjbljm1ester5q,2026-09-15T11:14:37Z,t-03gvfodzicdh88xyq57cbh06q,Strategy,correct,1,TRUE,,s-03gvfodzicht59odaszisixqq
,,,,,,,,
,,,,,,FALSE,,
,,,,,,FALSE,,
,,,,,,FALSE,,
,,,,,,FALSE,,
,,,,,,FALSE,,
,,,,,,FALSE,,
,,,,,,FALSE,,
,,,,,,FALSE,,
,,,,,,FALSE,,
,,,,,,FALSE,,
,,,,,,FALSE,,
,,,,,,FALSE,,
,,,,,,FALSE,,
,,,,,,FALSE,,
,,,,,,FALSE,,
,,,,,,FALSE,,
,,,,,,FALSE,,
,,,,,,FALSE,,
,,,,,,FALSE,,
,,,,,,FALSE,,
,,,,,,FALSE,,
,,,,,,FALSE,,
,,,,,,FALSE,,
,,,,,,FALSE,,
,,,,,,FALSE,,
,,,,,,FALSE,,
,,,,,,FALSE,,
,,,,,,FALSE,,
,,,,,,FALSE,,
,,,,,,FALSE,,
,,,,,,FALSE,,
,,,,,,FALSE,,
,,,,,,FALSE,,
,,,,,,FALSE,,
,,,,,,FALSE,,
,,,,,,FALSE,,
,,,,,,FALSE,,
,,,,,,FALSE,,
,,,,,,FALSE,,
,,,,,,FALSE,,
,,,,,,FALSE,,
,,,,,,FALSE,,
,,,,,,FALSE,,
,,,,,,FALSE,,
,,,,,,FALSE,,
,,,,,,FALSE,,
,,,,,,FALSE,,
,,,,,,FALSE,,
,,,,,,FALSE,,
,,,,,,FALSE,,
,,,,,,FALSE,,
,,,,,,FALSE,,
,,,,,,FALSE,,
,,,,,,FALSE,,
,,,,,,FALSE,,
,,,,,,FALSE,,
,,,,,,FALSE,,
,,,,,,FALSE,,
,,,,,,FALSE,,
,,,,,,FALSE,,
,,,,,,FALSE,,
,,,,,,FALSE,,
,,,,,,FALSE,,
,,,,,,FALSE,,
,,,,,,FALSE,,
,,,,,,FALSE,,
,,,,,,FALSE,,
,,,,,,FALSE,,
